WKT,name,description
"POLYGON ((4.3548953 52.0309244, 4.3535542 52.0327197, 4.3519234 52.0368911, 4.3508399 52.0386532, 4.3506575 52.0398214, 4.3501425 52.0403691, 4.350121 52.0396498, 4.351213 52.0373891, 4.3530343 52.0332541, 4.3535517 52.0320827, 4.3544769 52.0309244, 4.3552762 52.0301488, 4.3557107 52.0301257, 4.3548953 52.0309244))",Rubus fruticosus,N5 P5 maand 5-8
"POLYGON ((4.357474 52.0469175, 4.3710782 52.0585292, 4.3713571 52.0601123, 4.3649617 52.0553162, 4.356208 52.0476169, 4.357474 52.0469175))",Rubus fruticosus,N5 P5 maand 5-8
"POLYGON ((4.362549 52.0423501, 4.3571524 52.038727, 4.3573133 52.0386148, 4.3627849 52.0422181, 4.362549 52.0423501))",Narcissus pseudonarcissus ssp. pseudonarcissus,N1 P1 maand 3-4
"POLYGON ((4.370107 52.0388113, 4.3694364 52.0383823, 4.3696188 52.0382899, 4.3702196 52.038676, 4.370107 52.0388113))",Narcissus pseudonarcissus ssp. pseudonarcissus,N1 P1 maand 3-4
"POLYGON ((4.371498 52.0372094, 4.371144 52.036985, 4.3724851 52.0361798, 4.3728391 52.036424, 4.371498 52.0372094))",Hedera helix,N5 P5 maand 9-11
"POLYGON ((4.3841552 52.0509636, 4.3800782 52.0499607, 4.3802928 52.04971, 4.3842732 52.0507063, 4.3841552 52.0509636))",Narcissus pseudonarcissus ssp. pseudonarcissus,
"POLYGON ((4.361576 52.0296098, 4.3616189 52.0294777, 4.3769183 52.0361706, 4.3767251 52.0362498, 4.361576 52.0296098))",Wilde bloemenmix,
"POLYGON ((4.3700741 52.0366978, 4.3696343 52.0369255, 4.3696343 52.0368908, 4.3700259 52.036678, 4.3700741 52.0366978))",Narcissus pseudonarcissus ssp. pseudonarcissus,
"POLYGON ((4.3615869 52.0448007, 4.3615171 52.0447512, 4.3641645 52.0434001, 4.3642557 52.0434331, 4.3615869 52.0448007))",Hedera helix,
"POLYGON ((4.3562566 52.0469252, 4.3556934 52.0466084, 4.3557792 52.0465458, 4.3563908 52.0468592, 4.3562566 52.0469252))",Heracleum sphondylium,
"POLYGON ((4.3565895 52.0470986, 4.3566861 52.0470194, 4.3569382 52.0471712, 4.3568094 52.0472206, 4.3565895 52.0470986))",Fallopia japonica,
"POLYGON ((4.3761482 52.0604424, 4.374496 52.0610262, 4.373348 52.0599707, 4.3741741 52.0594232, 4.3761482 52.0604424))",Fallopia japonica,
"POLYGON ((4.4114862 52.052353, 4.4110571 52.0523662, 4.4134603 52.0488298, 4.413868 52.0488562, 4.4114862 52.052353))",Rubus fruticosus,
"POLYGON ((4.3620976 52.0247397, 4.3619367 52.0247331, 4.3660029 52.0211548, 4.3661746 52.0211944, 4.3620976 52.0247397))",Heracleum sphondylium,
